url_length,num_hyphens,num_at,has_ip,num_subdirectories,length_subdomain,has_https,is_shortened,label
24,1,0,False,1,0,True,False,0
55,1,0,False,5,0,True,False,0
36,0,0,False,1,0,True,False,0
34,0,0,False,2,0,True,False,0
30,0,0,False,0,0,True,False,0
23,0,0,False,0,8,True,False,0
19,0,0,False,1,0,True,False,0
21,0,0,False,0,0,True,False,0
27,0,0,False,1,0,True,False,0
26,0,0,False,0,0,True,False,0
26,0,0,False,1,0,True,False,0
24,0,0,False,0,0,True,False,0
34,0,0,False,1,0,True,False,0
17,0,0,False,0,3,True,False,0
55,1,0,False,5,0,True,False,0
42,0,0,False,2,0,True,False,0
24,1,0,False,0,0,True,False,0
39,0,0,False,2,0,True,False,0
33,0,0,False,1,0,True,False,0
33,0,0,False,3,0,True,False,0
22,0,0,False,0,4,True,False,0
32,1,0,False,2,0,True,False,0
26,0,0,False,1,0,True,False,0
37,0,0,False,3,0,True,False,0
18,0,0,False,0,3,True,False,0
27,0,0,False,1,0,True,False,0
26,0,0,False,1,0,True,False,0
39,0,0,False,1,0,True,False,0
38,0,0,False,3,0,True,False,0
38,0,0,False,2,0,True,False,0
27,0,0,False,1,0,True,False,0
18,0,0,False,0,0,True,False,0
31,0,0,False,2,5,True,False,0
24,0,0,False,1,3,True,False,0
36,1,0,False,2,0,True,False,0
30,1,0,False,3,0,True,False,0
18,0,0,False,0,0,True,False,0
46,0,0,False,1,6,True,False,0
19,0,0,False,1,0,True,False,0
38,0,0,False,2,10,True,False,0
29,0,0,False,3,0,True,False,0
19,0,0,False,1,0,True,False,0
32,1,0,False,2,0,True,False,0
23,0,0,False,0,0,True,False,0
34,1,0,False,2,0,True,False,0
19,0,0,False,0,0,True,False,0
42,1,0,False,3,0,True,False,0
21,0,0,False,0,0,True,False,0
38,0,0,False,2,0,True,False,0
46,0,0,False,1,6,True,False,0
18,0,0,False,0,0,True,False,0
35,1,0,False,2,0,True,False,0
37,0,0,False,2,0,True,False,0
36,0,0,False,2,0,True,False,0
36,0,0,False,1,0,True,False,0
25,0,0,False,0,0,True,False,0
23,0,0,False,0,8,True,False,0
19,0,0,False,0,4,True,False,0
46,0,0,False,1,0,True,False,0
19,0,0,False,0,4,True,False,0
20,0,0,False,0,0,True,False,0
35,1,0,False,2,0,True,False,0
14,0,0,False,0,0,True,False,0
24,0,0,False,1,3,True,False,0
28,0,0,False,2,0,True,False,0
22,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
32,0,0,False,3,0,True,False,0
30,0,0,False,2,0,True,False,0
29,0,0,False,2,0,True,False,0
35,0,0,False,2,0,True,False,0
36,0,0,False,2,0,True,False,0
22,0,0,False,1,3,True,False,0
21,0,0,False,0,0,True,False,0
27,0,0,False,1,0,True,False,0
50,0,0,False,2,16,True,False,0
35,0,0,False,3,0,True,False,0
45,0,0,False,1,0,True,False,0
40,1,0,False,1,8,True,False,0
19,0,0,False,0,0,True,False,0
43,0,0,False,2,0,True,False,0
34,0,0,False,3,0,True,False,0
36,0,0,False,1,0,True,False,0
35,0,0,False,2,0,True,False,0
34,0,0,False,3,0,True,False,0
27,0,0,False,1,0,True,False,0
25,0,0,False,0,0,True,False,0
24,0,0,False,0,0,True,False,0
17,0,0,False,0,0,True,False,0
22,0,0,False,0,4,True,False,0
21,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
39,0,0,False,2,0,True,False,0
26,0,0,False,1,7,True,False,0
19,0,0,False,0,5,True,False,0
35,0,0,False,2,0,True,False,0
42,0,0,False,2,3,True,False,0
37,0,0,False,2,0,True,False,0
35,1,0,False,2,0,True,False,0
21,0,0,False,0,0,True,False,0
56,0,0,False,2,3,True,False,0
20,0,0,False,0,0,True,False,0
20,0,0,False,0,5,True,False,0
22,1,0,False,0,0,True,False,0
32,0,0,False,1,0,True,False,0
17,0,0,False,0,0,True,False,0
41,1,0,False,2,11,True,False,0
26,0,0,False,1,0,True,False,0
45,0,0,False,2,0,True,False,0
34,0,0,False,3,0,True,False,0
34,0,0,False,3,0,True,False,0
46,0,0,False,1,6,True,False,0
22,0,0,False,0,0,True,False,0
33,0,0,False,3,0,True,False,0
22,0,0,False,0,0,True,False,0
28,0,0,False,1,0,True,False,0
44,1,0,False,2,0,True,False,0
32,0,0,False,2,0,True,False,0
31,1,0,False,1,0,True,False,0
37,0,0,False,2,0,True,False,0
36,1,0,False,1,0,True,False,0
18,0,0,False,0,0,True,False,0
31,0,0,False,1,0,True,False,0
15,0,0,False,0,0,True,False,0
30,0,0,False,1,0,True,False,0
26,0,0,False,0,0,True,False,0
31,1,0,False,1,0,True,False,0
27,0,0,False,1,0,True,False,0
30,0,0,False,1,0,True,False,0
43,0,0,False,1,3,True,False,0
36,0,0,False,2,0,True,False,0
32,0,0,False,2,0,True,False,0
22,0,0,False,0,0,True,False,0
23,0,0,False,0,0,True,False,0
42,0,0,False,2,14,True,False,0
56,0,0,False,2,3,True,False,0
24,0,0,False,0,0,True,False,0
27,0,0,False,2,0,True,False,0
29,0,0,False,1,0,True,False,0
15,0,0,False,0,0,True,False,0
45,0,0,False,3,8,True,False,0
16,0,0,False,0,0,True,False,0
36,0,0,False,3,0,True,False,0
37,0,0,False,2,0,True,False,0
17,0,0,False,0,0,True,False,0
55,1,0,False,5,0,True,False,0
19,0,0,False,0,0,True,False,0
23,0,0,False,0,9,True,False,0
34,0,0,False,2,0,True,False,0
23,0,0,False,1,0,True,False,0
23,0,0,False,0,0,True,False,0
32,0,0,False,1,0,True,False,0
18,0,0,False,0,4,True,False,0
20,0,0,False,0,6,True,False,0
36,0,0,False,3,0,True,False,0
42,0,0,False,3,0,True,False,0
55,1,0,False,5,0,True,False,0
22,0,0,False,0,0,True,False,0
56,0,0,False,2,3,True,False,0
22,0,0,False,0,4,True,False,0
27,0,0,False,1,0,True,False,0
30,0,0,False,1,0,True,False,0
21,0,0,False,0,6,True,False,0
29,0,0,False,3,0,True,False,0
35,0,0,False,3,0,True,False,0
17,0,0,False,0,0,True,False,0
22,0,0,False,0,0,True,False,0
24,0,0,False,1,3,True,False,0
25,0,0,False,0,0,True,False,0
46,0,0,False,2,0,True,False,0
20,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
35,0,0,False,3,0,True,False,0
22,0,0,False,0,0,True,False,0
27,0,0,False,1,0,True,False,0
27,0,0,False,1,0,True,False,0
40,0,0,False,2,0,True,False,0
15,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
16,0,0,False,0,0,True,False,0
38,0,0,False,2,0,True,False,0
40,0,0,False,2,0,True,False,0
27,0,0,False,1,0,True,False,0
30,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
23,0,0,False,0,8,True,False,0
22,1,0,False,0,0,True,False,0
28,0,0,False,1,0,True,False,0
24,0,0,False,0,0,True,False,0
26,0,0,False,0,0,True,False,0
22,0,0,False,1,3,True,False,0
20,0,0,False,0,0,True,False,0
34,0,0,False,2,0,True,False,0
27,0,0,False,0,0,True,False,0
17,1,0,False,0,0,True,False,0
20,0,0,False,0,0,True,False,0
23,2,0,False,0,0,True,False,0
31,0,0,False,3,0,True,False,0
16,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
42,0,0,False,1,10,True,False,0
26,0,0,False,1,0,True,False,0
42,0,0,False,2,3,True,False,0
32,0,0,False,2,0,True,False,0
31,1,0,False,1,0,True,False,0
23,0,0,False,0,0,True,False,0
36,0,0,False,1,0,True,False,0
19,0,0,False,0,0,True,False,0
21,0,0,False,1,0,True,False,0
17,0,0,False,0,0,True,False,0
39,1,0,False,3,0,True,False,0
36,0,0,False,1,0,True,False,0
15,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
36,0,0,False,2,0,True,False,0
32,0,0,False,3,0,True,False,0
23,1,0,False,0,0,True,False,0
38,0,0,False,1,0,True,False,0
20,0,0,False,0,0,True,False,0
35,0,0,False,3,0,True,False,0
46,0,0,False,3,0,True,False,0
33,0,0,False,2,0,True,False,0
17,0,0,False,0,0,True,False,0
20,0,0,False,0,0,True,False,0
29,0,0,False,3,0,True,False,0
30,2,0,False,0,15,True,False,0
22,0,0,False,0,4,True,False,0
18,0,0,False,0,3,True,False,0
35,1,0,False,2,0,True,False,0
28,0,0,False,2,0,True,False,0
37,0,0,False,2,0,True,False,0
34,0,0,False,1,0,True,False,0
19,0,0,False,1,0,True,False,0
35,1,0,False,2,0,True,False,0
34,0,0,False,2,0,True,False,0
33,1,0,False,2,0,True,False,0
35,0,0,False,2,0,True,False,0
28,0,0,False,3,0,True,False,0
30,0,0,False,2,0,True,False,0
35,0,0,False,3,0,True,False,0
39,0,0,False,2,0,True,False,0
36,0,0,False,1,0,True,False,0
21,0,0,False,0,7,True,False,0
17,0,0,False,0,0,True,False,0
48,1,0,False,2,0,True,False,0
46,0,0,False,1,6,True,False,0
15,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
30,0,0,False,3,0,True,False,0
27,0,0,False,1,0,True,False,0
35,0,0,False,2,0,True,False,0
29,0,0,False,1,5,True,False,0
31,0,0,False,1,7,True,False,0
17,0,0,False,0,0,True,False,0
33,1,0,False,2,4,True,False,0
31,0,0,False,1,0,True,False,0
28,0,0,False,0,0,True,False,0
38,0,0,False,2,7,True,False,0
35,0,0,False,3,0,True,False,0
17,0,0,False,0,0,True,False,0
41,0,0,False,1,0,True,False,0
33,0,0,False,3,0,True,False,0
24,0,0,False,0,0,True,False,0
42,1,0,False,3,0,True,False,0
14,0,0,False,0,0,True,False,0
40,1,0,False,1,8,True,False,0
32,0,0,False,2,0,True,False,0
18,0,0,False,0,4,True,False,0
21,0,0,False,0,6,True,False,0
33,0,0,False,1,9,True,False,0
25,0,0,False,1,0,True,False,0
32,0,0,False,2,0,True,False,0
30,0,0,False,0,0,True,False,0
28,0,0,False,1,0,True,False,0
19,0,0,False,1,0,True,False,0
35,1,0,False,2,0,True,False,0
33,0,0,False,2,0,True,False,0
22,0,0,False,0,0,True,False,0
42,1,0,False,2,0,True,False,0
20,0,0,False,1,0,True,False,0
33,0,0,False,1,0,True,False,0
23,0,0,False,0,0,True,False,0
24,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
45,0,0,False,2,0,True,False,0
18,0,0,False,0,0,True,False,0
35,0,0,False,2,0,True,False,0
46,0,0,False,1,6,True,False,0
18,0,0,False,0,0,True,False,0
31,1,0,False,2,0,True,False,0
23,0,0,False,1,0,True,False,0
24,0,0,False,1,3,True,False,0
28,0,0,False,1,0,True,False,0
18,0,0,False,0,3,True,False,0
31,0,0,False,1,0,True,False,0
22,0,0,False,0,0,True,False,0
29,0,0,False,1,0,True,False,0
38,0,0,False,2,0,True,False,0
16,0,0,False,0,0,True,False,0
23,0,0,False,0,0,True,False,0
16,0,0,False,0,0,True,False,0
39,0,0,False,3,0,True,False,0
14,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
42,0,0,False,3,0,True,False,0
29,0,0,False,1,0,True,False,0
19,0,0,False,0,0,True,False,0
25,0,0,False,0,0,True,False,0
16,0,0,False,0,0,True,False,0
43,0,0,False,1,3,True,False,0
16,0,0,False,0,0,True,False,0
31,0,0,False,2,0,True,False,0
38,0,0,False,2,0,True,False,0
28,0,0,False,0,13,True,False,0
14,0,0,False,0,0,True,False,0
14,0,0,False,0,0,True,False,0
17,0,0,False,0,0,True,False,0
27,0,0,False,1,0,True,False,0
19,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
23,0,0,False,1,0,True,False,0
36,0,0,False,1,0,True,False,0
44,0,0,False,2,0,True,False,0
34,0,0,False,3,0,True,False,0
19,0,0,False,0,0,True,False,0
33,0,0,False,2,0,True,False,0
17,0,0,False,0,0,True,False,0
27,0,0,False,0,0,True,False,0
14,0,0,False,0,0,True,False,0
36,0,0,False,2,4,True,False,0
31,0,0,False,2,0,True,False,0
41,0,0,False,2,0,True,False,0
27,0,0,False,1,0,True,False,0
56,0,0,False,2,3,True,False,0
19,0,0,False,0,0,True,False,0
24,1,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
22,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
35,0,0,False,2,0,True,False,0
35,0,0,False,1,0,True,False,0
40,1,0,False,1,8,True,False,0
17,0,0,False,0,0,True,False,0
19,0,0,False,0,0,True,False,0
30,0,0,False,1,9,True,False,0
29,0,0,False,1,8,True,False,0
35,1,0,False,2,0,True,False,0
30,0,0,False,1,0,True,False,0
30,0,0,False,2,0,True,False,0
33,1,0,False,1,9,True,False,0
25,0,0,False,0,0,True,False,0
55,1,0,False,5,0,True,False,0
24,0,0,False,0,0,True,False,0
33,0,0,False,2,0,True,False,0
23,0,0,False,0,0,True,False,0
42,0,0,False,2,3,True,False,0
35,0,0,False,1,0,True,False,0
19,0,0,False,0,4,True,False,0
22,1,0,False,0,0,True,False,0
25,0,0,False,1,0,True,False,0
35,0,0,False,2,0,True,False,0
30,0,0,False,2,0,True,False,0
15,0,0,False,0,0,True,False,0
17,0,0,False,0,0,True,False,0
16,0,0,False,0,0,True,False,0
22,0,0,False,1,2,True,False,0
14,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
31,0,0,False,1,0,True,False,0
29,0,0,False,3,0,True,False,0
51,0,0,False,1,3,True,False,0
24,0,0,False,1,3,True,False,0
32,1,0,False,1,0,True,False,0
20,0,0,False,0,0,True,False,0
39,0,0,False,2,0,True,False,0
14,0,0,False,0,0,True,False,0
26,0,0,False,1,0,True,False,0
22,0,0,False,1,3,True,False,0
36,0,0,False,2,8,True,False,0
39,0,0,False,2,0,True,False,0
27,0,0,False,1,0,True,False,0
36,0,0,False,2,0,True,False,0
51,0,0,False,1,3,True,False,0
16,0,0,False,0,0,True,False,0
37,0,0,False,3,0,True,False,0
27,0,0,False,1,0,True,False,0
32,0,0,False,3,0,True,False,0
22,0,0,False,0,4,True,False,0
38,0,0,False,2,0,True,False,0
40,0,0,False,3,0,True,False,0
30,0,0,False,1,0,True,False,0
41,0,0,False,2,0,True,False,0
24,1,0,False,0,0,True,False,0
55,1,0,False,5,0,True,False,0
43,0,0,False,1,3,True,False,0
27,0,0,False,1,0,True,False,0
18,0,0,False,0,0,True,False,0
15,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
33,0,0,False,2,0,True,False,0
37,0,0,False,2,0,True,False,0
51,0,0,False,1,3,True,False,0
16,0,0,False,0,0,True,False,0
24,1,0,False,0,0,True,False,0
42,0,0,False,1,0,True,False,0
24,0,0,False,1,3,True,False,0
25,0,0,False,1,4,True,False,0
34,1,0,False,3,0,True,False,0
19,0,0,False,0,0,True,False,0
27,0,0,False,1,0,True,False,0
35,1,0,False,2,0,True,False,0
35,0,0,False,3,0,True,False,0
35,1,0,False,2,0,True,False,0
29,0,0,False,3,0,True,False,0
35,0,0,False,2,0,True,False,0
40,0,0,False,2,0,True,False,0
16,0,0,False,0,0,True,False,0
31,1,0,False,1,0,True,False,0
27,0,0,False,1,0,True,False,0
22,0,0,False,0,0,True,False,0
34,0,0,False,2,0,True,False,0
22,0,0,False,0,0,True,False,0
24,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
31,1,0,False,1,0,True,False,0
50,2,0,False,1,0,True,False,0
24,0,0,False,0,0,True,False,0
40,0,0,False,1,0,True,False,0
20,0,0,False,0,0,True,False,0
36,0,0,False,1,0,True,False,0
24,0,0,False,0,0,True,False,0
39,0,0,False,2,0,True,False,0
42,1,0,False,3,0,True,False,0
27,0,0,False,1,0,True,False,0
33,0,0,False,1,0,True,False,0
31,0,0,False,0,16,True,False,0
20,0,0,False,0,0,True,False,0
44,1,0,False,2,0,True,False,0
26,0,0,False,1,0,True,False,0
21,0,0,False,0,0,True,False,0
51,0,0,False,1,3,True,False,0
36,0,0,False,3,0,True,False,0
45,0,0,False,3,8,True,False,0
32,0,0,False,3,0,True,False,0
33,0,0,False,2,0,True,False,0
33,1,0,False,1,0,True,False,0
47,0,0,False,1,0,True,False,0
21,0,0,False,0,0,True,False,0
36,0,0,False,2,0,True,False,0
21,0,0,False,0,0,True,False,0
17,0,0,False,0,0,True,False,0
34,0,0,False,2,0,True,False,0
41,1,0,False,2,0,True,False,0
35,2,0,False,0,0,True,False,0
46,0,0,False,1,6,True,False,0
21,0,0,False,0,0,True,False,0
31,0,0,False,1,0,True,False,0
35,1,0,False,2,0,True,False,0
23,0,0,False,1,0,True,False,0
17,0,0,False,0,0,True,False,0
32,0,0,False,1,0,True,False,0
22,0,0,False,0,0,True,False,0
24,2,0,False,0,0,True,False,0
22,0,0,False,0,0,True,False,0
46,0,0,False,1,6,True,False,0
35,0,0,False,2,0,True,False,0
18,0,0,False,0,0,True,False,0
20,0,0,False,0,5,True,False,0
23,0,0,False,0,0,True,False,0
35,1,0,False,2,0,True,False,0
34,0,0,False,2,0,True,False,0
37,0,0,False,3,0,True,False,0
32,0,0,False,1,0,True,False,0
41,0,0,False,2,0,True,False,0
38,0,0,False,3,0,True,False,0
42,0,0,False,1,0,True,False,0
37,0,0,False,2,0,True,False,0
22,1,0,False,0,0,True,False,0
25,0,0,False,0,0,True,False,0
28,0,0,False,0,0,True,False,0
45,0,0,False,3,8,True,False,0
18,0,0,False,0,0,True,False,0
19,0,0,False,0,4,True,False,0
19,0,0,False,0,0,True,False,0
37,0,0,False,2,0,True,False,0
38,0,0,False,2,0,True,False,0
36,0,0,False,3,0,True,False,0
36,0,0,False,2,0,True,False,0
34,0,0,False,3,7,True,False,0
22,0,0,False,0,0,True,False,0
21,0,0,False,0,0,True,False,0
42,1,0,False,3,0,True,False,0
39,0,0,False,3,0,True,False,0
45,0,0,False,3,8,True,False,0
25,0,0,False,0,0,True,False,0
32,0,0,False,2,0,True,False,0
37,0,0,False,2,0,True,False,0
51,0,0,False,1,3,True,False,0
19,0,0,False,0,0,True,False,0
31,0,0,False,1,0,True,False,0
39,0,0,False,1,0,True,False,0
25,0,0,False,1,0,True,False,0
24,0,0,False,0,0,True,False,0
16,0,0,False,0,0,True,False,0
22,0,0,False,0,4,True,False,0
18,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
24,0,0,False,1,4,True,False,0
24,0,0,False,0,0,True,False,0
26,0,0,False,1,0,True,False,0
32,0,0,False,3,0,True,False,0
35,0,0,False,3,0,True,False,0
27,0,0,False,0,0,True,False,0
27,0,0,False,0,12,True,False,0
27,0,0,False,3,0,True,False,0
27,0,0,False,3,0,True,False,0
19,0,0,False,0,0,True,False,0
24,0,0,False,0,9,True,False,0
38,1,0,False,1,0,True,False,0
19,0,0,False,0,0,True,False,0
42,0,0,False,1,0,True,False,0
15,0,0,False,0,0,True,False,0
23,0,0,False,0,0,True,False,0
36,0,0,False,1,0,True,False,0
36,0,0,False,3,0,True,False,0
18,0,0,False,0,0,True,False,0
27,0,0,False,1,0,True,False,0
28,0,0,False,1,0,True,False,0
43,2,0,False,3,0,True,False,0
25,0,0,False,0,0,True,False,0
26,0,0,False,1,0,True,False,0
37,1,0,False,2,0,True,False,0
43,0,0,False,1,3,True,False,0
30,0,0,False,1,0,True,False,0
31,0,0,False,3,0,True,False,0
33,1,0,False,2,4,True,False,0
30,0,0,False,1,9,True,False,0
24,0,0,False,1,0,True,False,0
15,0,0,False,0,0,True,False,0
25,0,0,False,0,0,True,False,0
30,0,0,False,0,15,True,False,0
16,0,0,False,0,0,True,False,0
22,0,0,False,0,0,True,False,0
14,0,0,False,0,0,True,False,0
22,0,0,False,0,0,True,False,0
30,1,0,False,1,0,True,False,0
18,0,0,False,0,0,True,False,0
16,0,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
14,0,0,False,0,0,True,False,0
37,0,0,False,1,0,True,False,0
56,0,0,False,2,3,True,False,0
20,0,0,False,0,0,True,False,0
23,0,0,False,1,0,True,False,0
34,0,0,False,2,0,True,False,0
24,0,0,False,1,0,True,False,0
41,0,0,False,2,7,True,False,0
37,0,0,False,3,0,True,False,0
22,0,0,False,1,0,True,False,0
19,0,0,False,0,0,True,False,0
27,0,0,False,0,13,True,False,0
14,0,0,False,0,0,True,False,0
47,0,0,False,1,0,True,False,0
25,0,0,False,1,0,True,False,0
19,0,0,False,0,0,True,False,0
35,0,0,False,1,0,True,False,0
35,0,0,False,2,0,True,False,0
24,0,0,False,0,10,True,False,0
29,1,0,False,2,0,True,False,0
20,0,0,False,0,0,True,False,0
21,0,0,False,0,6,True,False,0
14,0,0,False,0,0,True,False,0
34,0,0,False,3,0,True,False,0
31,1,0,False,0,0,True,False,0
27,1,0,False,0,0,True,False,0
40,0,0,False,2,9,True,False,0
30,0,0,False,1,0,True,False,0
27,0,0,False,1,6,True,False,0
46,0,0,False,1,6,True,False,0
24,0,0,False,1,3,True,False,0
25,0,0,False,1,0,True,False,0
39,0,0,False,3,0,True,False,0
25,0,0,False,1,0,True,False,0
15,0,0,False,0,0,True,False,0
28,0,0,False,1,0,True,False,0
22,0,0,False,1,0,True,False,0
25,0,0,False,0,10,True,False,0
22,0,0,False,0,0,True,False,0
35,0,0,False,2,0,True,False,0
33,0,0,False,1,0,True,False,0
21,0,0,False,0,0,True,False,0
17,0,0,False,0,3,True,False,0
56,0,0,False,2,3,True,False,0
29,0,0,False,1,0,True,False,0
34,1,0,False,2,0,True,False,0
40,1,0,False,1,0,True,False,0
32,0,0,False,1,8,True,False,0
44,0,0,False,3,16,True,False,0
20,0,0,False,0,0,True,False,0
27,0,0,False,1,0,True,False,0
45,0,0,False,3,8,True,False,0
33,0,0,False,1,0,True,False,0
17,0,0,False,0,0,True,False,0
22,0,0,False,0,0,True,False,0
33,1,0,False,2,0,True,False,0
32,1,0,False,2,3,True,False,0
42,0,0,False,2,9,True,False,0
41,0,0,False,2,0,True,False,0
30,0,0,False,3,0,True,False,0
31,1,0,False,2,0,True,False,0
30,0,0,False,1,0,True,False,0
32,1,0,False,2,0,True,False,0
38,1,0,False,1,0,True,False,0
19,0,0,False,1,0,True,False,0
30,1,0,False,2,0,True,False,0
45,0,0,False,1,0,True,False,0
22,0,0,False,0,0,True,False,0
37,0,0,False,2,0,True,False,0
25,0,0,False,2,0,True,False,0
44,0,0,False,1,0,True,False,0
23,0,0,False,0,0,True,False,0
39,0,0,False,2,0,True,False,0
20,0,0,False,0,0,True,False,0
46,0,0,False,1,6,True,False,0
26,0,0,False,0,0,True,False,0
27,0,0,False,1,0,True,False,0
19,0,0,False,0,0,True,False,0
34,0,0,False,3,0,True,False,0
43,0,0,False,3,0,True,False,0
34,0,0,False,1,0,True,False,0
21,0,0,False,0,0,True,False,0
22,0,0,False,1,3,True,False,0
37,0,0,False,1,0,True,False,0
45,0,0,False,3,8,True,False,0
24,0,0,False,1,3,True,False,0
38,1,0,False,2,0,True,False,0
24,0,0,False,1,0,True,False,0
22,0,0,False,0,0,True,False,0
17,0,0,False,0,0,True,False,0
35,1,0,False,2,0,True,False,0
30,0,0,False,1,0,True,False,0
25,1,0,False,0,0,True,False,0
36,1,0,False,2,0,True,False,0
27,0,0,False,1,0,True,False,0
22,0,0,False,1,0,True,False,0
20,0,0,False,0,0,True,False,0
46,0,0,False,1,6,True,False,0
23,0,0,False,0,0,True,False,0
40,0,0,False,2,0,True,False,0
26,0,0,False,1,0,True,False,0
40,0,0,False,2,0,True,False,0
26,0,0,False,0,0,True,False,0
30,0,0,False,2,0,True,False,0
41,1,0,False,2,0,True,False,0
16,0,0,False,0,0,True,False,0
38,1,0,False,1,0,True,False,0
27,0,0,False,0,0,True,False,0
37,0,0,False,3,0,True,False,0
26,0,0,False,1,0,True,False,0
34,0,0,False,2,0,True,False,0
21,0,0,False,0,0,True,False,0
19,0,0,False,0,0,True,False,0
45,0,0,False,3,8,True,False,0
19,0,0,False,0,0,True,False,0
56,0,0,False,2,3,True,False,0
19,0,0,False,0,0,True,False,0
24,0,0,False,0,0,True,False,0
23,0,0,False,0,9,True,False,0
34,1,0,False,2,0,True,False,0
36,0,0,False,1,0,True,False,0
19,0,0,False,0,0,True,False,0
30,0,0,False,2,0,True,False,0
45,0,0,False,3,8,True,False,0
29,0,0,False,3,0,True,False,0
24,0,0,False,0,0,True,False,0
37,0,0,False,1,0,True,False,0
42,0,0,False,2,3,True,False,0
24,0,0,False,1,3,True,False,0
19,0,0,False,0,0,True,False,0
38,1,0,False,2,0,True,False,0
35,1,0,False,1,14,True,False,0
25,0,0,False,1,0,True,False,0
32,0,0,False,2,0,True,False,0
16,0,0,False,0,0,True,False,0
46,0,0,False,1,6,True,False,0
23,0,0,False,0,0,True,False,0
19,0,0,False,0,5,True,False,0
43,0,0,False,2,0,True,False,0
41,0,0,False,2,0,True,False,0
20,0,0,False,0,0,True,False,0
26,0,0,False,1,0,True,False,0
45,0,0,False,3,8,True,False,0
38,0,0,False,2,5,True,False,0
17,0,0,False,0,0,True,False,0
27,0,0,False,3,0,True,False,0
22,0,0,False,0,0,True,False,0
26,0,0,False,0,0,True,False,0
23,0,0,False,0,0,True,False,0
22,0,0,False,1,0,True,False,0
26,0,0,False,0,0,True,False,0
19,0,0,False,0,0,True,False,0
19,0,0,False,0,0,True,False,0
25,0,0,False,0,0,True,False,0
31,0,0,False,3,0,True,False,0
23,0,0,False,1,0,True,False,0
55,1,0,False,5,0,True,False,0
34,0,0,False,3,0,True,False,0
23,0,0,False,0,0,True,False,0
43,0,0,False,1,3,True,False,0
19,0,0,False,0,0,True,False,0
45,0,0,False,3,8,True,False,0
32,1,0,False,2,0,True,False,0
24,0,0,False,0,0,True,False,0
23,0,0,False,0,0,True,False,0
24,0,0,False,0,0,True,False,0
19,0,0,False,0,0,True,False,0
34,0,0,False,3,0,True,False,0
46,0,0,False,1,6,True,False,0
34,0,0,False,2,0,True,False,0
20,0,0,False,1,0,True,False,0
39,0,0,False,2,0,True,False,0
21,0,0,False,0,0,True,False,0
31,1,0,False,1,0,True,False,0
43,0,0,False,1,3,True,False,0
31,1,0,False,1,0,True,False,0
24,0,0,False,1,0,True,False,0
22,0,0,False,1,3,True,False,0
18,1,0,False,0,0,True,False,0
18,0,0,False,0,0,True,False,0
22,0,0,False,0,0,True,False,0
33,0,0,False,0,0,True,False,0
39,0,0,False,2,0,True,False,0
43,0,0,False,1,3,True,False,0
33,0,0,False,2,0,True,False,0
22,0,0,False,0,0,True,False,0
14,0,0,False,0,0,True,False,0
33,0,0,False,3,0,True,False,0
17,0,0,False,0,0,True,False,0
19,0,0,False,0,0,True,False,0
33,1,0,False,2,0,True,False,0
25,0,0,False,0,0,True,False,0
41,0,0,False,1,0,True,False,0
34,0,0,False,2,0,True,False,0
40,0,0,False,3,0,True,False,0
41,0,0,False,3,0,True,False,0
38,1,0,False,3,0,True,False,0
22,0,0,False,0,7,True,False,0
43,0,0,False,1,3,True,False,0
21,0,0,False,0,0,True,False,0
16,0,0,False,0,0,True,False,0
30,0,0,False,1,0,True,False,0
28,0,0,False,2,0,True,False,0
45,0,0,False,3,8,True,False,0
17,0,0,False,0,0,True,False,0
20,0,0,False,0,0,True,False,0
24,1,0,False,0,0,True,False,0
35,0,0,False,2,0,True,False,0
42,1,0,False,3,0,True,False,0
40,0,0,False,1,0,True,False,0
24,0,0,False,1,0,True,False,0
29,0,0,False,3,0,True,False,0
37,0,0,False,1,0,True,False,0
20,0,0,False,0,0,True,False,0
31,0,0,False,3,0,True,False,0
28,0,0,False,3,0,True,False,0
22,1,0,False,0,0,True,False,0
22,0,0,False,0,4,True,False,0
26,0,0,False,0,12,True,False,0
35,0,0,False,3,0,True,False,0
20,0,0,False,1,0,True,False,0
27,0,0,False,2,0,True,False,0
51,0,0,False,1,3,True,False,0
31,0,0,False,3,0,True,False,0
21,0,0,False,0,0,True,False,0
